Accessory_ID,Car Brand,Car Model,Accessory Name,Accessory Price,Accessory Description,Compatible Cars,Top 5 Reviews,Brand_Normalized,Sentiment_VADER,Sentiment_Polarity,Sentiment_Subjectivity,Sentiment_Score,Sentiment_Label,Sentiment_Strength,Key_Phrases,Category,Aspect_Quality_Score,Aspect_Quality_Mentions,Aspect_Durability_Score,Aspect_Durability_Mentions,Aspect_Installation_Score,Aspect_Installation_Mentions,Aspect_Design_Score,Aspect_Design_Mentions,Aspect_Compatibility_Score,Aspect_Compatibility_Mentions,Aspect_Value_Score,Aspect_Value_Mentions,Aspect_Comfort_Score,Aspect_Comfort_Mentions,Aspect_Performance_Score,Aspect_Performance_Mentions,Dominant_Emotion,Emotion_Happy_Score,Emotion_Satisfied_Score,Emotion_Disappointed_Score,Emotion_Angry_Score,Emotion_Neutral_Score,Key_Strengths,Key_Weaknesses,Recommendation_Explanation,Overall_Quality_Score,Accessory_Name_Normalized,Car_Brand_Normalized,Car_Model_Normalized,Compatible_Cars_Normalized
280,Hyundai,Creta,Autofact Car Sunshades For Hyundai Creta Old (2015 To 2020) UV Protection,999.0,"custom fit sun shades for side windows, scratch-free, blocks up to 95% uv rays, easy install, set of 4",hyundai creta 2015-2020,Superb Size fit & quality | Good Quality Products | Premium quality product | Perfect for Nissan Magnite | Does not fit Verna 2019,hyundai,0.902,0.5799999999999998,0.6799999999999999,0.7732,positive,Very Strong,"['good', 'perfect', 'quality']",Exterior,0.902,2,0.0,0,0.902,1,0.0,0,0.902,2,0.0,0,0.0,0,0.0,0,happy,0.6667,0.3333,0.0,0.0,0.0,high quality,,⭐ Highly rated with 0.77 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Exterior accessory | 😊 Customers are very happy | ✨ High Quality,0.57988,autofact car sunshades for hyundai creta old (2015 to 2020) uv protection,hyundai,creta,hyundai creta 2015-2020
281,Hyundai,Exter,Autofact Car Sunshades For Hyundai Exter,999.0,"set of 4 uv protective sunshades, custom fit for hyundai exter, fix-type, mesh material, blocks up to 95% uv rays.",hyundai exter,Superb Size fit & quality | Good Quality Products | Premium quality product | Does not fit Verna 2019 | Perfect for Nissan Magnite,hyundai,0.902,0.5799999999999998,0.6799999999999999,0.7732,positive,Very Strong,"['good', 'perfect', 'quality']",Interior,0.902,2,0.0,0,0.902,1,0.0,0,0.902,2,0.0,0,0.0,0,0.0,0,happy,0.6667,0.3333,0.0,0.0,0.0,high quality,,⭐ Highly rated with 0.77 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | 😊 Customers are very happy | ✨ High Quality,0.57988,autofact car sunshades for hyundai exter,hyundai,exter,hyundai exter
282,Hyundai,I20,Autofact Car Sunshades For Hyundai I20 New (2020 To 2025),999.0,"custom fit side window sunshades, set of 4, uv protection, mesh fabric, blocks up to 95% uv, scratch-free fit.",hyundai i20 2020-2025,Superb Size fit quality|Good Quality Products|Premium quality product|Does not fit Verna 2019|Perfect for Nissan Magnite,hyundai,0.6694,0.3999999999999999,0.6,0.56164,positive,Strong,"['good', 'perfect', 'quality']",Exterior,0.6694,2,0.0,0,0.6694,1,0.0,0,0.6694,2,0.0,0,0.0,0,0.0,0,happy,0.6667,0.3333,0.0,0.0,0.0,high quality,,✅ Positively reviewed (0.56 sentiment) | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Exterior accessory | 😊 Customers are very happy | ✨ High Quality,0.425476,autofact car sunshades for hyundai i20 new (2020 to 2025),hyundai,i20,hyundai i20 2020-2025
283,Tata,Curvv,"Autofact Car Sunshades For Tata Curvv (set Of 4, UV Protection, Custom Fit)",769.0,"custom fit side window sunshades, set of 4, uv protection, improves comfort and protects interior.",tata curvv,Blocks sun|Perfect fit|Easy to install|Good quality|Very useful,tata,0.25,0.3,0.0,0.27,positive,Moderate,"['good', 'perfect', 'quality']",Exterior,0.25,1,0.0,0,0.25,3,0.0,0,0.25,2,0.0,0,0.0,0,0.0,0,happy,0.5,0.5,0.0,0.0,0.0,,,📁 Exterior accessory | 😊 Customers are very happy,0.183,"autofact car sunshades for tata curvv (set of 4, uv protection, custom fit)",tata,curvv,tata curvv
284,Tata,Safari (2021-2025),Autofact Car Sunshades For Tata Safari (set Of 6),1199.0,"custom fit sun shades, uv protection, scratch-free fix-type, blocks uv rays, safe and comfortable drive.",tata safari (2021-2025),Superb Size fit & quality|Good Quality Products|Premium quality product|Does not fit Verna 2019|Perfect for Nissan Magnite,tata,0.6694,0.3999999999999999,0.6,0.56164,positive,Strong,"['good', 'perfect', 'quality']",Protection,0.6694,2,0.0,0,0.6694,1,0.0,0,0.6694,2,0.0,0,0.0,0,0.0,0,happy,0.6667,0.3333,0.0,0.0,0.0,high quality,,✅ Positively reviewed (0.56 sentiment) | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Protection accessory | 😊 Customers are very happy | ✨ High Quality,0.425476,autofact car sunshades for tata safari (set of 6),tata,safari (2021-2025),tata safari (2021-2025)
285,Tata,Tigor,Autofact Car Sunshades For Tata Tigor,999.0,"uv protection, custom fit sun shades for side windows, set of 4, blocks 95% uv",tata tigor,Amazon Customer:Superb Size fit & quality|Rahul Rangpariya:Good Quality Products|Panyala Venkat:Premium quality product|satish:Does not fit Verna 2019|AD:Perfect for Nissan Magnite,tata,0.2709,0.1,0.4,0.20254,positive,Weak,"['good', 'perfect', 'quality']",Exterior,0.2709,2,0.0,0,0.2709,1,0.0,0,0.2709,2,0.0,0,0.0,0,0.0,0,happy,0.6667,0.3333,0.0,0.0,0.0,,,📁 Exterior accessory | 😊 Customers are very happy,0.1622859999999999,autofact car sunshades for tata tigor,tata,tigor,tata tigor
286,Toyota,Glanza,Autofact Car Sunshades For Toyota Glanza,999.0,"custom fit for side windows (2015 to 2021), uv protection, cotton mesh material, non magnetic, fix type.",toyota glanza (2015 to 2021),Good Quality Products | Premium quality product. Perfect fit | Does not fit Verna 2019 | Perfect for Nissan Magnite | Good quality and fits well with car windows,toyota,0.9402,0.6000000000000001,0.6666666666666666,0.80412,positive,Very Strong,"['good', 'perfect', 'quality']",Interior,0.9402,2,0.0,0,0.9151,1,0.0,0,0.9151,4,0.0,0,0.0,0,0.0,0,happy,0.5,0.5,0.0,0.0,0.0,"high quality, perfect fit",,⭐ Highly rated with 0.80 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | 😊 Customers are very happy | ✨ High Quality | ✨ Perfect Fit,0.6037079999999999,autofact car sunshades for toyota glanza,toyota,glanza,toyota glanza (2015 to 2021)
287,Hyundai,Venue,Autofact Car Sunshades Set Of 4,999.0,"uv protection, custom fit, mesh curtain, scratch-free, perfect fit for hyundai venue, blocks up to 95% uv.",hyundai venue,Superb Size fit & quality; Good Quality Products; Premium quality product; Does not fit Verna 2019; Perfect for Nissan Magnite,hyundai,0.902,0.5799999999999998,0.6799999999999999,0.7732,positive,Very Strong,"['good', 'perfect', 'quality']",Protection,0.902,2,0.0,0,0.902,1,0.0,0,0.902,2,0.0,0,0.0,0,0.0,0,happy,0.6667,0.3333,0.0,0.0,0.0,high quality,,⭐ Highly rated with 0.77 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Protection accessory | 😊 Customers are very happy | ✨ High Quality,0.57988,autofact car sunshades set of 4,hyundai,venue,hyundai venue
288,Hyundai,Verna,Autofact Car Sunshades UV Protection (2022 To 2025),999.0,"custom fit uv block sun shades, set of 4 for hyundai verna (2022-2025), easy install, heat & glare reduction.",hyundai verna (2022 to 2025),"Superb Size fit & quality|Good Quality Products, Please Update Proper improve Size Fitment|Premium quality product.|Does not fit Verna 2019|Perfect for Nissan Magnite",hyundai,0.8654,0.3,0.475,0.6392399999999999,positive,Strong,"['good', 'perfect', 'quality']",Safety,0.8654,2,0.0,0,0.8654,1,0.0,0,0.8654,2,0.0,0,0.0,0,0.0,0,happy,0.6667,0.3333,0.0,0.0,0.0,high quality,,✅ Positively reviewed (0.64 sentiment) | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Safety accessory | 😊 Customers are very happy | ✨ High Quality,0.5153159999999999,autofact car sunshades uv protection (2022 to 2025),hyundai,verna,hyundai verna (2022 to 2025)
289,Tata,Punch,Autofact Cotton Car Sunshades,999.0,"custom fit, cotton mesh, blocks uv, anti-mosquito, privacy, reduces heat, enhances comfort, easy install, set of 4.",tata punch,Superb Size fit & quality | Good Quality Products | Premium quality product | Does not fit Verna 2019 | Perfect for Nissan Magnite,tata,0.902,0.5799999999999998,0.6799999999999999,0.7732,positive,Very Strong,"['good', 'perfect', 'quality']",Safety,0.902,2,0.0,0,0.902,1,0.0,0,0.902,2,0.0,0,0.0,0,0.0,0,happy,0.6667,0.3333,0.0,0.0,0.0,high quality,,⭐ Highly rated with 0.77 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Safety accessory | 😊 Customers are very happy | ✨ High Quality,0.57988,autofact cotton car sunshades,tata,punch,tata punch
290,Tata,Tigor,"Autofact Magnetic Car Sunshades (set Of 4, Zipper)",1299.0,"easy installation, uv protection, keeps car cool, front 2 half-cut for side mirror, rear 2 with zippers",tata tigor,Sushil suresh kurade:Great product|Gibi John:Good fit for kwid climber|Anithakumari:Perfect product|Darshan J.:Ok ok product|Mani Prabhu:Good Fit for Nexon,tata,0.7351,0.4333333333333333,0.4333333333333333,0.6143933333333333,positive,Strong,"['great', 'good', 'perfect']",Exterior,0.0,0,0.0,0,0.7351,1,0.0,0,0.7351,1,0.0,0,0.0,0,0.0,0,satisfied,0.3333,0.6667,0.0,0.0,0.0,overall positive,,✅ Positively reviewed (0.61 sentiment) | 🔧 Easy to install | 📁 Exterior accessory | ✅ Customer satisfaction high | ✨ Overall Positive,0.2457573333333333,"autofact magnetic car sunshades (set of 4, zipper)",tata,tigor,tata tigor
291,Tata,Tiago,Autofact Magnetic Sunshades,529.0,"magnetic sunshades, uv protection, easy install for tiago; set of 4",tata tiago,Fits perfectly | UV protection | Easy to install | Good cooling | Mirror visibility maintained,tata,0.875,0.7111111111111111,0.8111111111111112,0.8094444444444444,positive,Very Strong,"['good', 'perfect']",Storage,0.0,0,0.0,0,0.875,3,0.0,0,0.875,2,0.0,0,0.0,0,0.0,0,happy,0.5,0.5,0.0,0.0,0.0,"perfect fit, easy installation",,⭐ Highly rated with 0.81 sentiment score | 🔧 Easy to install | 📁 Storage accessory | 😊 Customers are very happy | ✨ Perfect Fit | ✨ Easy Installation,0.3237777777777778,autofact magnetic sunshades,tata,tiago,tata tiago
292,Tata,Punch,Autofit 3 Layer Heat/water Proof Pu Leatherite Car Trunk/boot/dicky Mat,1499.0,"black and silver leather mat for boot/trunk, 3-layer, heat & water proof, easy to clean, premium quality, durable, velcro setup.",tata punch,Perfect Fit & Premium Quality â€“ Worth Every Penny! | Fits okay and quality is average | Perfect Fit and Premium Quality Trunk Mat for Honda Elevate! | Quality Product and Correct Size | Ok product but expensive,tata,0.8513,0.4027777777777778,0.5555555555555556,0.671891111111111,positive,Strong,"['perfect', 'quality']",Interior,0.8513,2,0.0,0,0.9411,1,0.0,0,0.8513,4,0.6643,2,0.0,0,0.0,0,satisfied,0.2857,0.4286,0.1429,0.0,0.1429,"high quality, great value, perfect fit",,✅ Positively reviewed (0.67 sentiment) | 🔧 Easy to install | 🏆 Praised for high quality | 📁 Interior accessory | ✅ Customer satisfaction high | ✨ High Quality | ✨ Great Value,0.5905764444444443,autofit 3 layer heat/water proof pu leatherite car trunk/boot/dicky mat,tata,punch,tata punch
293,BMW,Z4,Autofurnish Aero Grey Car Body Cover,2995.0,waterproof and heat resistant car body cover with mirror pocket compatibility. professional grade protection for bmw z4.,bmw z4,Good product quality and fits well|Excellent material and waterproof protection|Perfect fit for BMW Z4 model|Value for money car cover|Durable construction with good finish,bmw,0.8074,0.6,0.5333333333333333,0.72444,positive,Strong,"['excellent', 'good', 'perfect', 'quality']",Exterior,0.8074,4,0.8074,1,0.8074,1,0.8074,1,0.8074,5,0.8074,3,0.0,0,0.0,0,happy,0.5,0.5,0.0,0.0,0.0,"great value, perfect fit, durable",,⭐ Highly rated with 0.72 sentiment score | 🏆 Praised for high quality | ⚒️ Known for durability | 📁 Exterior accessory | 😊 Customers are very happy | ✨ Great Value | ✨ Perfect Fit,0.774216,autofurnish aero grey car body cover,bmw,z4,bmw z4
294,Land Rover,Range Rover,Autofurnish Car Tissue Holder,349.0,"premium pu leather, sun visor attachment, easy pull and refill, sturdy, stylish.",universal fit for all cars,Good quality product and very usable|Does the job well!|Perfect fit. Go for it|Wrong product|Solves purpose,land rover,0.69,0.4333333333333333,0.4333333333333334,0.5873333333333333,positive,Strong,"['good', 'perfect', 'quality']",Interior,0.69,1,0.0,0,0.69,1,0.0,0,0.69,2,0.0,0,0.0,0,0.0,0,happy,0.5,0.5,0.0,0.0,0.0,perfect fit,,✅ Positively reviewed (0.59 sentiment) | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | 😊 Customers are very happy | ✨ Perfect Fit,0.4419333333333333,autofurnish car tissue holder,land rover,range rover,universal fit for all cars
295,Jaguar,Xjl (2015-2023),Autofusion Premium 7d Car Floor Mat Full Set,4378.0,"luxury leather with grass mat, double layered stitched, waterproof & washable, 7d mats with 7 layer protection, detachable anti-skid curly mat, custom fitted, black silver color.",jaguar xjl (2015-2023),"The AutoFusion Premium 7D Car Floor Mat Full Set mat is a worthwhile investment|Nice product|Looking is very good|Nice quality and material|Nice one for 2000rs, baleno car",jaguar,0.34,0.35,0.45,0.344,positive,Moderate,"['good', 'quality', 'nice']",Interior,0.34,3,0.0,0,0.0,0,0.34,1,0.34,1,0.34,1,0.0,0,0.0,0,satisfied,0.0,1.0,0.0,0.0,0.0,great value,,📁 Interior accessory | ✅ Customer satisfaction high | ✨ Great Value,0.2736,autofusion premium 7d car floor mat full set,jaguar,xjl (2015-2023),jaguar xjl (2015-2023)
296,AUDI,A3,Autokaar All Weather Rubber Car Floor Mat,750.0,"set of 4, heavy duty pvc, waterproof, easy installation, protects against rain, snow, mud, dust.",audi a3,"['Only 2 customer reviews, both 4-star ratings.']",audi,0.0,0.0,1.0,0.0,neutral,Neutral,[],Interior,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Interior accessory,0.0,autokaar all weather rubber car floor mat,audi,a3,audi a3
298,Mahindra,Scorpio N,Autokaar Box Type Mud Flap (4 Pcs),339.0,"oe type, box shape, premium factory fit, injection-moulded pvc, protects scorpio n from mud and dirt, set of 4.",mahindra scorpio n,"Perfect fit|Not too good ,screw missing|Good materials|Could be better|Good",mahindra,0.7351,0.85,0.8,0.78106,positive,Very Strong,"['good', 'perfect']",Storage,0.7351,1,0.0,0,0.7351,1,0.0,0,0.7351,2,0.0,0,0.0,0,0.0,0,satisfied,0.2,0.6,0.2,0.0,0.0,perfect fit,,⭐ Highly rated with 0.78 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Storage accessory | ✅ Customer satisfaction high | ✨ Perfect Fit,0.532954,autokaar box type mud flap (4 pcs),mahindra,scorpio n,mahindra scorpio n
299,Maruti Suzuki,Fronx,Autokaar Bumper Corner Guard,249.0,front and rear bumper corner guard protection chrome line universal (set of 4),maruti suzuki alto/swift/grand vitara/brezza/fronx/dzire/jimny/esteem/k10,"12 ratings, 3.0 stars",maruti suzuki,0.0,0.0,0.0,0.0,neutral,Neutral,[],Exterior,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Exterior accessory,0.0,autokaar bumper corner guard,maruti suzuki,fronx,maruti suzuki alto/swift/grand vitara/brezza/fronx/dzire/jimny/esteem/k10
300,Hyundai,Exter,Autokaar Car Bumper Corner Guard,249.0,"pvc, black, chrome line, set of 4, front & rear protection, universal fit for hyundai exter.",hyundai exter,Good | Waste | WRONG SIZE OR WRONG COMMUNICATION | Don't buy it! | N/A,hyundai,-0.8342,-0.15625,0.6,-0.56302,negative,Strong,"['good', 'waste']",Exterior,0.0,0,0.0,0,0.0,0,0.0,0,-0.8342,2,0.0,0,0.0,0,0.0,0,satisfied,0.0,0.5,0.0,0.5,0.0,,fit issues,📁 Exterior accessory | ✅ Customer satisfaction high,-0.225208,autokaar car bumper corner guard,hyundai,exter,hyundai exter
301,Hyundai,Alcazar,Autokaar Car Door Handle Protector Sticker Pu Finger Scratch Guard Transparent Universal For Hyundai Exter/creta/venue/verna/alcazar/tucson/i10/i20/nios,249.0,"material - flexible tpu transparent film, scratch resistant. high quality vinyl. self adhesive, simply peeling and pasting, safe for car paint and does not leave any mark on removing. protects your car handle cups from scratches due to nails or ring while opening the door. size - around 3 by 3.5 inches, 1.5 mm thick. long life and easy to clean.",hyundai exter/creta/venue/verna/alcazar/tucson/i10/i20/nios,"prashant pawar - Very good product...car door inside production. Very good product perfect fitting; ULHAS - Good. Geys job done; AAK500BLR - Poor Quality Glue. Stickers fit perfectly but peeled off in Sun; Tapas Kumar Roy - For hyundai exter. Good one, nice feeling in touch; Conscience - Generic handle protection not suitable for Creta as advertised",hyundai,0.9533,0.5037499999999999,0.6675000000000001,0.7734800000000001,positive,Very Strong,"['good', 'perfect', 'quality', 'nice', 'poor']",Protection,-0.4767,1,0.0,0,0.835,2,0.0,0,0.8743,4,0.0,0,0.0,0,0.0,0,satisfied,0.2857,0.7143,0.0,0.0,0.0,perfect fit,,⭐ Highly rated with 0.77 sentiment score | 🔧 Easy to install | 📁 Protection accessory | ✅ Customer satisfaction high | ✨ Perfect Fit,0.166382,autokaar car door handle protector sticker pu finger scratch guard transparent universal for hyundai exter/creta/venue/verna/alcazar/tucson/i10/i20/nios,hyundai,alcazar,hyundai exter/creta/venue/verna/alcazar/tucson/i10/i20/nios
302,Honda,Elevate,Autokaar Car Front And Rear Bumper Corner Guard Protection Chrome Line,249.0,"universal for honda elevate/amaze/city/jazz/brio/mobilio/brv/wrv/civic - set of 4, unique design with single chrome line, waterproof, easy installation",honda elevate/amaze/city/jazz/brio/mobilio/brv/wrv/civic,"Amazon Customer - 1 star - Quality - Quality was very poor, not worth | Amazon Customer - 4 stars - good at this price - good | muthu - 1 star - Damage - Spoil my car colours.. Dont buy",honda,-0.3696,0.1824999999999999,0.52,-0.14876,negative,Weak,"['good', 'quality', 'poor']",Exterior,-0.3696,1,-0.3696,1,0.0,0,-0.3696,1,-0.3696,1,-0.3696,3,0.0,0,0.0,0,satisfied,0.0,1.0,0.0,0.0,0.0,,,📁 Exterior accessory | ✅ Customer satisfaction high,-0.2812639999999999,autokaar car front and rear bumper corner guard protection chrome line,honda,elevate,honda elevate/amaze/city/jazz/brio/mobilio/brv/wrv/civic
303,Maruti Suzuki,Fronx,Autokaar Door Edge Guard,197.0,status car door edge guard scratch protector black universal,maruti suzuki alto/swift/grand vitara/brezza/fronx/dzire/jimny/esteem/k10,"310 ratings, 2.8 stars",maruti suzuki,0.0,0.0,0.0,0.0,neutral,Neutral,[],Protection,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Protection accessory,0.0,autokaar door edge guard,maruti suzuki,fronx,maruti suzuki alto/swift/grand vitara/brezza/fronx/dzire/jimny/esteem/k10
304,Maruti Suzuki,Wagon R Tour 2019 Onwards,Autokaar Mud Flap,249.0,"oe type/box type car mud flap, injection moulded for perfect fit, made from high quality pvc, corrosion resistant, provides protection from dirt and mud, black color, package includes 4 pieces (2 for front, 2 for rear) with nut bolts for fitment",maruti suzuki wagon r tour 2019 onwards,"Rahul Barman Roy (5.0★): Good product. Perfectly fits my Tiago EV 2023 model. | Pawan Dhumal (1.0★): 4 screw missing ,not to proper product, dissatisfied. | Placeholder (4.0★): Very good product | kasoju.naveen (3.0★): Product design and fit is oem type but the screw hole placement is not matching. Only a single screw match on the vehicle | Manikantan.s (5.0★): Value",maruti suzuki,0.6904,0.3423214285714285,0.5180357142857143,0.5511685714285715,positive,Strong,"['good', 'perfect']",Storage,0.0,0,0.0,0,0.5922,2,0.3064,1,0.7466,5,0.25,1,0.0,0,0.0,0,happy,0.5,0.5,0.0,0.0,0.0,overall positive,,✅ Positively reviewed (0.55 sentiment) | 🔧 Easy to install | 📁 Storage accessory | 😊 Customers are very happy | ✨ Overall Positive,0.2454674285714286,autokaar mud flap,maruti suzuki,wagon r tour 2019 onwards,maruti suzuki wagon r tour 2019 onwards
305,Tata,Punch,Autokaar Oe Type/box Type Car Mud Flap,339.0,"mud flaps, box type, for front/rear, pvc, oem fit, includes nut & bolts for tata punch, protects from mud/dirt.",tata punch,"Perfect fit | Not too good ,screw missing | Good materials | Could be better | Good",tata,0.8907,0.5428571428571428,0.5357142857142857,0.7515628571428572,positive,Very Strong,"['good', 'perfect']",Storage,0.8907,1,0.0,0,0.8907,1,0.0,0,0.8907,2,0.0,0,0.0,0,0.0,0,satisfied,0.2,0.6,0.2,0.0,0.0,perfect fit,,⭐ Highly rated with 0.75 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Storage accessory | ✅ Customer satisfaction high | ✨ Perfect Fit,0.5678351428571429,autokaar oe type/box type car mud flap,tata,punch,tata punch
307,Maruti Suzuki,Wagon R Tour 2019 Onwards,Autokaar Pvc Grass Mat,1249.0,"anti skid coil mat noodle mat, 12mm thickness, soft and comfy surface for feet, entangled soft multiple pvc loops, heel pad on driver side, universal fit, easy to clean with water, odorless, all weather mat, set of 5 pieces",maruti suzuki wagon r tour 2019 onwards,Umesh kashid (5.0★): Nice product. I buy it for my Tata harrier | Shyamkumar (4.0★): Ok | Rameshwar Chaudhari (3.0★): The size of the product in not cerrect for wagon R | vikas kumar (5.0★): Quality is good. | Amazon Customer (1.0★): I'm not happy with the mat.Not correctly fitted to my car for sides gape s there,maruti suzuki,0.681,0.35,0.775,0.5486,positive,Strong,"['good', 'quality', 'nice']",Interior,0.6249,1,0.0,0,-0.3178,1,0.0,0,0.4218,3,0.0,0,0.0,0,0.0,0,satisfied,0.25,0.75,0.0,0.0,0.0,overall positive,,✅ Positively reviewed (0.55 sentiment) | 🏆 Praised for high quality | 📁 Interior accessory | ✅ Customer satisfaction high | ✨ Overall Positive,0.40691,autokaar pvc grass mat,maruti suzuki,wagon r tour 2019 onwards,maruti suzuki wagon r tour 2019 onwards
308,AUDI,E-tron Gt,Autokraftz Steering Wheel Cover,230.0,"breathable, anti-slip, universal fit, faux leather.",audi (universal),"['Good quality, fits well.', 'Excellent, value for money.', 'Nice grip and fit.', 'Very nice cover, grip is good.', 'Impressive design.']",audi,0.9741,0.74,0.7999999999999999,0.88046,positive,Very Strong,"['excellent', 'good', 'quality', 'nice']",Interior,0.6124,1,0.0,0,0.8519,1,0.5106,1,0.8519,2,0.7269,3,0.0,0,0.0,0,satisfied,0.2,0.8,0.0,0.0,0.0,great value,,⭐ Highly rated with 0.88 sentiment score | 🔧 Easy to install | 💰 Great value for money | 📁 Interior accessory | ✅ Customer satisfaction high | ✨ Great Value,0.6085940000000001,autokraftz steering wheel cover,audi,e-tron gt,audi (universal)
309,Maruti Suzuki,Swift Vxi,Autokraftz Swift Vxi Maruti Suzuki Emblem,250.0,"premium metallic rear emblem for swift vxi, vehicle-specific, durable, easy install, enhances style.",swift vxi,Very satisfied | Satisfied | Worth Quality | Product quality | Nice product and best fit for my swift car quality was too good,maruti suzuki,0.965,0.5928571428571427,0.6285714285714287,0.8161428571428571,positive,Very Strong,"['good', 'best', 'quality', 'nice']",Styling,0.965,1,0.0,0,0.965,1,0.0,0,0.965,2,0.965,1,0.0,0,0.0,0,happy,0.5,0.5,0.0,0.0,0.0,great value,,⭐ Highly rated with 0.82 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Styling accessory | 😊 Customers are very happy | ✨ Great Value,0.7124571428571429,autokraftz swift vxi maruti suzuki emblem,maruti suzuki,swift vxi,swift vxi
310,Tata,Punch,Autokraftz Tata Punch Car 3d Logo Names Emblem,296.0,"3d logo names emblem, for car bonnet, black finish, plastic, durable, weather-resistant, easy self-adhesive installation.",tata punch,Yes | Too woody and flat. | Ok now | Not able to stick. To bad quality | Thik thik,tata,0.1027,-0.1187499999999999,0.4791666666666666,0.01412,neutral,Neutral,"['quality', 'bad']",Storage,-0.5423,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,satisfied,0.0,1.0,0.0,0.0,0.0,,,📁 Storage accessory | ✅ Customer satisfaction high,-0.157042,autokraftz tata punch car 3d logo names emblem,tata,punch,tata punch
311,Tata,Safari (2021-2025),Autokraftz Tata Safari Car Accessories – 3d Logo Name Emblem (black),302.0,"3d black premium emblem letters, strong adhesive, weatherproof, custom appearance.",tata safari,Wrong Font Style - Disastrous look|Good|Dint get what I had orderd|Missing letter in package|Average product,tata,-0.7906,-0.6,0.8500000000000001,-0.7143599999999999,negative,Strong,['good'],Styling,0.0,0,0.0,0,0.0,0,-0.7906,2,0.0,0,0.0,0,0.0,0,0.0,0,satisfied,0.0,0.5,0.25,0.0,0.25,,overall negative,📁 Styling accessory | ✅ Customer satisfaction high,-0.2857439999999999,autokraftz tata safari car accessories – 3d logo name emblem (black),tata,safari (2021-2025),tata safari
312,Maruti Suzuki,Brezza 2022 Onwards,Autoluxer Magnetic Window Sunshades,1199.0,"magnetic window sunshades, 4-curtains set, customised fit, uv protection.",maruti suzuki brezza 2022 onwards,"Good product|Cheap & Best!|Go for it|Itne paise mai bahut accha hai|Quite good product, and it does the work as needed",maruti suzuki,0.7263,0.7,0.6000000000000001,0.7157799999999999,positive,Strong,"['good', 'best', 'cheap']",Exterior,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.7263,1,0.0,0,0.0,0,satisfied,0.0,1.0,0.0,0.0,0.0,overall positive,,⭐ Highly rated with 0.72 sentiment score | 💰 Great value for money | 📁 Exterior accessory | ✅ Customer satisfaction high | ✨ Overall Positive,0.358942,autoluxer magnetic window sunshades,maruti suzuki,brezza 2022 onwards,maruti suzuki brezza 2022 onwards
313,Skoda,Kylaq,Automatic Window Rolling Curtain,4050.0,"automatic window curtain custom fit for kylaq, improves privacy and sun protection.",kylaq,Easy to use|Provides shade|Good fit|Works well|Affordable,skoda,0.4404,0.4333333333333333,0.8333333333333334,0.4375733333333333,positive,Moderate,['good'],Interior,0.0,0,0.0,0,0.4404,1,0.0,0,0.4404,1,0.4404,1,0.0,0,0.4404,2,satisfied,0.0,1.0,0.0,0.0,0.0,great value,,✅ Positively reviewed (0.44 sentiment) | 📁 Interior accessory | ✅ Customer satisfaction high | ✨ Great Value,0.2190693333333333,automatic window rolling curtain,skoda,kylaq,kylaq
314,Kia,Carens,Automaze Chrome Rear Trunk Garnish,1957.0,"imported chrome rear trunk garnish/patti, triple abs plating, edge-to-edge fit, premium shine, compatible with carens all models.",kia carens all models,Very excellent product - Very nice product | Nice fit/3M tape required | Good finish/perfect | Not fitted with full finishing | Good quality chrome,kia,0.9402,0.6883333333333334,0.7916666666666666,0.8394533333333334,positive,Very Strong,"['excellent', 'good', 'perfect', 'quality', 'nice']",Exterior,0.9402,2,0.0,0,0.9402,1,0.9402,1,0.9402,1,0.0,0,0.0,0,0.0,0,satisfied,0.3333,0.6667,0.0,0.0,0.0,overall positive,,⭐ Highly rated with 0.84 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Exterior accessory | ✅ Customer satisfaction high | ✨ Overall Positive,0.6178413333333334,automaze chrome rear trunk garnish,kia,carens,kia carens all models
